policy_id,demand_pattern,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,cost
15.0,0.0,210.0,293.0,247.0,254.0,269.0,56.0,39.0,28.0,94.0,32.0,126.0,27.0,19.0,15.0,472.35049999999967
16.0,0.0,213.0,270.0,240.0,251.0,282.0,57.0,40.0,27.0,95.0,30.0,127.0,28.0,19.0,15.0,413.81800000000015
17.0,0.0,211.0,296.0,248.0,262.0,269.0,56.0,40.0,27.0,92.0,31.0,121.0,27.0,19.0,15.0,426.44500000000016
18.0,0.0,213.0,287.0,235.0,270.0,276.0,54.0,38.0,28.0,97.0,30.0,122.0,27.0,19.0,15.0,432.0874999999999
19.0,0.0,217.0,278.0,235.0,248.0,286.0,55.0,38.0,28.0,92.0,32.0,121.0,28.0,19.0,15.0,410.8040000000001
20.0,0.0,223.0,293.0,250.0,264.0,287.0,53.0,38.0,27.0,96.0,30.0,119.0,27.0,19.0,15.0,460.13000000000005
21.0,0.0,228.0,292.0,249.0,249.0,287.0,54.0,40.0,27.0,98.0,30.0,118.0,27.0,19.0,15.0,449.6919999999999
22.0,0.0,215.0,276.0,241.0,267.0,286.0,54.0,38.0,27.0,94.0,30.0,124.0,28.0,19.0,15.0,432.3934999999998
23.0,0.0,221.0,275.0,234.0,270.0,288.0,55.0,39.0,28.0,93.0,30.0,123.0,28.0,19.0,15.0,434.3635
24.0,0.0,213.0,285.0,233.0,270.0,279.0,54.0,39.0,27.0,96.0,30.0,120.0,27.0,19.0,15.0,437.0190000000002
25.0,0.0,226.0,295.0,244.0,250.0,289.0,53.0,40.0,27.0,92.0,30.0,124.0,28.0,19.0,15.0,466.49650000000014
26.0,0.0,226.0,286.0,246.0,261.0,279.0,55.0,40.0,28.0,91.0,31.0,127.0,27.0,19.0,15.0,433.21950000000027
27.0,0.0,229.0,296.0,250.0,266.0,287.0,56.0,40.0,27.0,90.0,31.0,125.0,28.0,19.0,15.0,467.1155000000002
28.0,0.0,215.0,276.0,250.0,249.0,288.0,53.0,39.0,28.0,91.0,32.0,125.0,28.0,19.0,15.0,418.39549999999986
29.0,0.0,227.0,274.0,244.0,271.0,271.0,55.0,38.0,28.0,93.0,31.0,118.0,28.0,19.0,15.0,399.85899999999987
30.0,0.0,210.0,284.0,238.0,252.0,268.0,56.0,39.0,28.0,97.0,31.0,119.0,27.0,19.0,15.0,432.38950000000006
31.0,0.0,212.0,294.0,234.0,264.0,273.0,56.0,38.0,28.0,92.0,32.0,124.0,28.0,19.0,15.0,434.3575000000001
32.0,0.0,218.0,271.0,240.0,260.0,279.0,57.0,40.0,27.0,90.0,31.0,122.0,28.0,19.0,15.0,421.7144999999998
33.0,0.0,222.0,273.0,243.0,270.0,269.0,56.0,38.0,27.0,98.0,30.0,123.0,27.0,19.0,15.0,462.54400000000015
34.0,0.0,223.0,279.0,238.0,256.0,268.0,55.0,40.0,27.0,92.0,32.0,117.0,27.0,19.0,15.0,433.2035000000002
35.0,0.0,211.0,286.0,243.0,251.0,287.0,55.0,39.0,28.0,97.0,30.0,127.0,28.0,19.0,15.0,466.43150000000026
36.0,0.0,227.0,293.0,231.0,254.0,273.0,56.0,39.0,27.0,93.0,30.0,121.0,28.0,19.0,15.0,402.07150000000036
37.0,0.0,222.0,283.0,231.0,262.0,287.0,54.0,40.0,28.0,90.0,31.0,117.0,27.0,19.0,15.0,417.26849999999996
38.0,0.0,214.0,283.0,240.0,249.0,274.0,57.0,38.0,27.0,92.0,32.0,121.0,27.0,19.0,15.0,425.1825000000001
39.0,0.0,212.0,282.0,245.0,263.0,270.0,55.0,38.0,27.0,93.0,31.0,118.0,28.0,19.0,15.0,419.4760000000002
40.0,0.0,211.0,285.0,230.0,252.0,292.0,57.0,40.0,28.0,91.0,32.0,117.0,27.0,19.0,15.0,440.76600000000013
41.0,0.0,216.0,285.0,241.0,269.0,267.0,56.0,40.0,28.0,96.0,32.0,121.0,28.0,19.0,15.0,415.71850000000006
42.0,0.0,225.0,281.0,245.0,268.0,291.0,57.0,40.0,27.0,90.0,30.0,124.0,28.0,19.0,15.0,421.38050000000027
43.0,0.0,226.0,281.0,243.0,251.0,269.0,54.0,38.0,27.0,93.0,30.0,117.0,27.0,19.0,15.0,442.5789999999997
44.0,0.0,227.0,275.0,238.0,256.0,270.0,55.0,38.0,28.0,93.0,30.0,124.0,28.0,19.0,15.0,428.93649999999997
45.0,0.0,217.0,293.0,242.0,249.0,270.0,56.0,39.0,28.0,95.0,30.0,121.0,28.0,19.0,15.0,415.8464999999996
46.0,0.0,226.0,286.0,235.0,252.0,284.0,57.0,40.0,28.0,90.0,31.0,118.0,28.0,19.0,15.0,427.5390000000001
47.0,0.0,216.0,294.0,233.0,248.0,287.0,53.0,39.0,28.0,98.0,30.0,123.0,28.0,19.0,15.0,431.8495
48.0,0.0,230.0,284.0,236.0,268.0,271.0,54.0,39.0,28.0,90.0,32.0,125.0,27.0,19.0,15.0,456.4180000000001
49.0,0.0,221.0,287.0,242.0,249.0,269.0,53.0,39.0,27.0,91.0,30.0,122.0,27.0,19.0,15.0,431.3919999999998
50.0,0.0,227.0,273.0,239.0,252.0,285.0,57.0,39.0,28.0,91.0,31.0,126.0,27.0,19.0,15.0,461.51700000000034
51.0,0.0,220.0,292.0,231.0,259.0,276.0,57.0,39.0,27.0,91.0,32.0,118.0,28.0,19.0,15.0,466.75300000000016
52.0,0.0,210.0,280.0,241.0,253.0,281.0,56.0,39.0,27.0,98.0,31.0,126.0,27.0,19.0,15.0,418.899
53.0,0.0,223.0,278.0,249.0,250.0,284.0,54.0,40.0,28.0,97.0,31.0,119.0,27.0,19.0,15.0,427.9184999999997
54.0,0.0,212.0,274.0,231.0,249.0,281.0,55.0,38.0,28.0,91.0,32.0,118.0,28.0,19.0,15.0,418.90649999999965
55.0,0.0,224.0,283.0,236.0,259.0,290.0,53.0,39.0,28.0,98.0,32.0,127.0,28.0,19.0,15.0,430.9619999999998
56.0,0.0,212.0,270.0,229.0,260.0,283.0,54.0,39.0,27.0,93.0,31.0,123.0,28.0,19.0,15.0,431.7314999999999
57.0,0.0,228.0,293.0,250.0,249.0,289.0,55.0,40.0,27.0,90.0,31.0,118.0,27.0,19.0,15.0,442.90299999999996
58.0,0.0,228.0,289.0,231.0,250.0,268.0,55.0,40.0,28.0,96.0,32.0,124.0,28.0,19.0,15.0,403.9615
59.0,0.0,230.0,290.0,234.0,268.0,275.0,55.0,40.0,28.0,91.0,32.0,119.0,28.0,19.0,15.0,421.7280000000001
60.0,0.0,222.0,287.0,245.0,271.0,276.0,53.0,38.0,27.0,97.0,31.0,123.0,28.0,19.0,15.0,462.37100000000027
61.0,0.0,223.0,293.0,230.0,250.0,290.0,56.0,39.0,27.0,91.0,31.0,126.0,27.0,19.0,15.0,427.35549999999984
62.0,0.0,216.0,286.0,250.0,249.0,283.0,53.0,40.0,27.0,92.0,32.0,120.0,27.0,19.0,15.0,507.40200000000027
63.0,0.0,230.0,275.0,250.0,266.0,277.0,57.0,38.0,27.0,94.0,30.0,126.0,28.0,19.0,15.0,446.3950000000001
64.0,0.0,211.0,272.0,232.0,263.0,287.0,56.0,40.0,28.0,95.0,31.0,118.0,28.0,19.0,15.0,401.064
65.0,0.0,218.0,287.0,234.0,271.0,281.0,53.0,38.0,27.0,93.0,31.0,120.0,27.0,19.0,15.0,430.6809999999998
66.0,0.0,216.0,285.0,241.0,259.0,267.0,54.0,39.0,27.0,91.0,31.0,117.0,28.0,19.0,15.0,435.494
67.0,0.0,224.0,280.0,241.0,260.0,275.0,56.0,38.0,28.0,98.0,30.0,124.0,28.0,19.0,15.0,436.58299999999986
68.0,0.0,219.0,275.0,231.0,258.0,282.0,55.0,39.0,27.0,97.0,31.0,126.0,27.0,19.0,15.0,445.2270000000001
69.0,0.0,221.0,275.0,239.0,250.0,288.0,55.0,39.0,27.0,98.0,30.0,122.0,27.0,19.0,15.0,427.5544999999997
70.0,0.0,227.0,285.0,243.0,262.0,282.0,54.0,38.0,28.0,97.0,31.0,125.0,28.0,19.0,15.0,462.99299999999965
71.0,0.0,214.0,270.0,229.0,258.0,275.0,55.0,40.0,28.0,98.0,30.0,121.0,27.0,19.0,15.0,429.01000000000045
72.0,0.0,218.0,286.0,250.0,249.0,273.0,55.0,39.0,28.0,93.0,30.0,119.0,28.0,19.0,15.0,423.4720000000001
73.0,0.0,226.0,296.0,240.0,250.0,268.0,54.0,38.0,28.0,90.0,32.0,121.0,27.0,19.0,15.0,422.85049999999967
74.0,0.0,213.0,283.0,234.0,252.0,278.0,57.0,39.0,28.0,91.0,31.0,117.0,27.0,19.0,15.0,421.50399999999973
75.0,0.0,222.0,288.0,241.0,254.0,284.0,54.0,38.0,27.0,98.0,30.0,126.0,28.0,19.0,15.0,448.9939999999999
76.0,0.0,210.0,271.0,250.0,257.0,274.0,55.0,40.0,27.0,92.0,31.0,118.0,28.0,19.0,15.0,492.4219999999999
77.0,0.0,217.0,276.0,247.0,250.0,273.0,55.0,39.0,28.0,92.0,30.0,123.0,28.0,19.0,15.0,466.57300000000026
78.0,0.0,218.0,281.0,231.0,262.0,289.0,55.0,39.0,27.0,93.0,31.0,118.0,27.0,19.0,15.0,412.96049999999997
79.0,0.0,221.0,296.0,236.0,266.0,285.0,57.0,40.0,27.0,94.0,31.0,127.0,27.0,19.0,15.0,440.717
80.0,0.0,230.0,281.0,236.0,261.0,269.0,54.0,38.0,28.0,93.0,32.0,125.0,28.0,19.0,15.0,426.69149999999985
81.0,0.0,224.0,294.0,232.0,260.0,269.0,54.0,39.0,27.0,97.0,31.0,122.0,27.0,19.0,15.0,447.8520000000002
82.0,0.0,215.0,280.0,235.0,254.0,292.0,53.0,38.0,27.0,97.0,30.0,123.0,27.0,19.0,15.0,446.8970000000001
83.0,0.0,225.0,279.0,247.0,268.0,278.0,55.0,40.0,28.0,96.0,31.0,126.0,27.0,19.0,15.0,411.27899999999994
84.0,0.0,218.0,287.0,240.0,254.0,268.0,56.0,40.0,27.0,92.0,32.0,118.0,27.0,19.0,15.0,402.75499999999994
85.0,0.0,225.0,272.0,246.0,262.0,274.0,56.0,39.0,27.0,95.0,30.0,124.0,27.0,19.0,15.0,413.0239999999999
86.0,0.0,222.0,284.0,235.0,265.0,272.0,55.0,39.0,27.0,95.0,30.0,118.0,27.0,19.0,15.0,417.4580000000001
87.0,0.0,215.0,288.0,240.0,251.0,278.0,56.0,38.0,28.0,98.0,32.0,122.0,27.0,19.0,15.0,465.96300000000025
88.0,0.0,225.0,283.0,250.0,270.0,284.0,55.0,39.0,27.0,93.0,31.0,124.0,28.0,19.0,15.0,468.3565000000003
89.0,0.0,213.0,283.0,237.0,259.0,272.0,56.0,38.0,27.0,91.0,32.0,118.0,27.0,19.0,15.0,429.5015
90.0,0.0,218.0,270.0,236.0,267.0,267.0,54.0,38.0,27.0,96.0,31.0,120.0,28.0,19.0,15.0,439.81750000000005
91.0,0.0,225.0,294.0,246.0,248.0,280.0,56.0,40.0,28.0,90.0,32.0,124.0,27.0,19.0,15.0,440.68199999999985
92.0,0.0,211.0,287.0,233.0,261.0,269.0,57.0,38.0,28.0,96.0,30.0,120.0,28.0,19.0,15.0,428.19899999999996
93.0,0.0,230.0,273.0,242.0,257.0,271.0,56.0,39.0,28.0,92.0,32.0,117.0,27.0,19.0,15.0,438.05399999999986
94.0,0.0,228.0,293.0,250.0,265.0,270.0,53.0,40.0,28.0,95.0,32.0,126.0,27.0,19.0,15.0,436.4980000000001
95.0,0.0,226.0,276.0,233.0,265.0,267.0,56.0,38.0,27.0,94.0,31.0,126.0,27.0,19.0,15.0,418.98949999999985
96.0,0.0,226.0,274.0,237.0,264.0,268.0,56.0,38.0,28.0,98.0,32.0,127.0,27.0,19.0,15.0,435.2365000000002
97.0,0.0,213.0,293.0,235.0,262.0,275.0,56.0,39.0,27.0,91.0,32.0,122.0,27.0,19.0,15.0,410.1325000000003
98.0,0.0,212.0,283.0,240.0,260.0,282.0,55.0,39.0,27.0,90.0,31.0,125.0,27.0,19.0,15.0,477.6674999999995
99.0,0.0,228.0,287.0,238.0,255.0,272.0,54.0,39.0,28.0,96.0,31.0,126.0,28.0,19.0,15.0,431.77049999999997
100.0,0.0,218.0,278.0,229.0,254.0,284.0,55.0,38.0,27.0,95.0,31.0,124.0,28.0,19.0,15.0,421.9375
101.0,0.0,214.0,290.0,244.0,260.0,273.0,54.0,40.0,28.0,96.0,32.0,124.0,27.0,19.0,15.0,424.37849999999986
102.0,0.0,224.0,288.0,246.0,261.0,267.0,54.0,39.0,27.0,97.0,31.0,121.0,27.0,19.0,15.0,425.2890000000004
103.0,0.0,225.0,285.0,231.0,249.0,288.0,54.0,40.0,27.0,94.0,30.0,126.0,28.0,19.0,15.0,412.394
104.0,0.0,228.0,279.0,234.0,260.0,274.0,53.0,38.0,28.0,90.0,30.0,122.0,27.0,19.0,15.0,459.3685
105.0,0.0,213.0,277.0,238.0,250.0,279.0,57.0,40.0,27.0,98.0,32.0,125.0,28.0,19.0,15.0,402.37499999999966
106.0,0.0,225.0,296.0,229.0,264.0,277.0,56.0,39.0,28.0,92.0,31.0,125.0,28.0,19.0,15.0,434.6030000000001
107.0,0.0,225.0,292.0,241.0,267.0,290.0,55.0,40.0,27.0,94.0,31.0,120.0,27.0,19.0,15.0,420.75250000000017
108.0,0.0,226.0,291.0,231.0,266.0,288.0,57.0,38.0,28.0,91.0,31.0,117.0,28.0,19.0,15.0,421.6035000000002
109.0,0.0,228.0,270.0,232.0,257.0,284.0,55.0,40.0,27.0,95.0,31.0,127.0,27.0,19.0,15.0,425.41600000000005
110.0,0.0,229.0,282.0,244.0,271.0,284.0,53.0,39.0,27.0,90.0,30.0,120.0,27.0,19.0,15.0,473.0445000000004
111.0,0.0,222.0,287.0,242.0,267.0,285.0,57.0,40.0,27.0,91.0,32.0,120.0,27.0,19.0,15.0,425.50550000000004
112.0,0.0,223.0,270.0,240.0,248.0,289.0,55.0,38.0,27.0,94.0,32.0,126.0,28.0,19.0,15.0,418.73299999999995
113.0,0.0,229.0,293.0,247.0,253.0,270.0,55.0,40.0,28.0,93.0,31.0,123.0,27.0,19.0,15.0,437.8444999999999
114.0,0.0,228.0,294.0,241.0,258.0,279.0,53.0,38.0,27.0,90.0,30.0,125.0,27.0,19.0,15.0,476.80399999999986
115.0,0.0,217.0,287.0,236.0,264.0,282.0,56.0,40.0,28.0,97.0,31.0,123.0,27.0,19.0,15.0,421.38750000000016
116.0,0.0,219.0,274.0,240.0,257.0,274.0,53.0,38.0,28.0,97.0,32.0,120.0,27.0,19.0,15.0,425.73299999999995
117.0,0.0,227.0,287.0,236.0,259.0,278.0,55.0,38.0,28.0,90.0,32.0,117.0,28.0,19.0,15.0,442.77650000000017
118.0,0.0,214.0,277.0,236.0,271.0,284.0,56.0,40.0,28.0,96.0,32.0,118.0,27.0,19.0,15.0,400.90550000000025
119.0,0.0,222.0,277.0,244.0,252.0,267.0,55.0,38.0,28.0,95.0,31.0,117.0,28.0,19.0,15.0,407.8395000000001
120.0,0.0,218.0,285.0,230.0,263.0,276.0,55.0,40.0,28.0,96.0,30.0,121.0,28.0,19.0,15.0,422.7425
121.0,0.0,216.0,291.0,244.0,265.0,269.0,56.0,39.0,27.0,94.0,30.0,117.0,28.0,19.0,15.0,449.3949999999999
122.0,0.0,220.0,287.0,239.0,268.0,272.0,56.0,38.0,27.0,94.0,31.0,124.0,27.0,19.0,15.0,451.07200000000006
123.0,0.0,223.0,284.0,249.0,252.0,287.0,53.0,39.0,28.0,97.0,31.0,127.0,28.0,19.0,15.0,442.46300000000025
124.0,0.0,217.0,281.0,242.0,268.0,270.0,57.0,38.0,27.0,95.0,31.0,121.0,27.0,19.0,15.0,420.2170000000001
125.0,0.0,223.0,288.0,229.0,269.0,283.0,53.0,40.0,28.0,90.0,32.0,125.0,28.0,19.0,15.0,437.16700000000003
126.0,0.0,214.0,288.0,249.0,262.0,284.0,53.0,40.0,28.0,96.0,32.0,121.0,28.0,19.0,15.0,431.00899999999996
127.0,0.0,228.0,293.0,248.0,266.0,274.0,54.0,40.0,27.0,91.0,30.0,127.0,28.0,19.0,15.0,480.0410000000004
128.0,0.0,218.0,274.0,230.0,264.0,283.0,56.0,39.0,27.0,93.0,31.0,117.0,27.0,19.0,15.0,414.4545000000001
129.0,0.0,217.0,287.0,237.0,261.0,279.0,53.0,39.0,28.0,97.0,31.0,125.0,27.0,19.0,15.0,480.994
130.0,0.0,214.0,289.0,246.0,256.0,270.0,53.0,39.0,27.0,97.0,32.0,122.0,28.0,19.0,15.0,462.65299999999996
131.0,0.0,214.0,279.0,240.0,260.0,274.0,53.0,38.0,27.0,94.0,30.0,120.0,27.0,19.0,15.0,448.52250000000015
132.0,0.0,221.0,295.0,234.0,271.0,282.0,57.0,38.0,28.0,91.0,32.0,118.0,27.0,19.0,15.0,432.4490000000002
133.0,0.0,218.0,274.0,241.0,258.0,288.0,55.0,40.0,28.0,91.0,30.0,119.0,27.0,19.0,15.0,414.56250000000017
134.0,0.0,225.0,276.0,243.0,268.0,279.0,54.0,38.0,28.0,90.0,30.0,124.0,27.0,19.0,15.0,448.4229999999999
135.0,0.0,224.0,280.0,233.0,250.0,276.0,53.0,39.0,28.0,96.0,32.0,117.0,28.0,19.0,15.0,420.8465
136.0,0.0,220.0,277.0,242.0,261.0,279.0,55.0,39.0,27.0,90.0,32.0,117.0,28.0,19.0,15.0,443.2085000000002
137.0,0.0,226.0,283.0,247.0,271.0,273.0,55.0,40.0,27.0,93.0,31.0,122.0,27.0,19.0,15.0,422.13599999999997
138.0,0.0,216.0,287.0,235.0,268.0,276.0,54.0,40.0,27.0,93.0,31.0,124.0,27.0,19.0,15.0,423.2840000000001
139.0,0.0,214.0,278.0,248.0,259.0,270.0,55.0,39.0,27.0,90.0,32.0,124.0,27.0,19.0,15.0,451.72000000000014
140.0,0.0,224.0,283.0,229.0,263.0,282.0,57.0,39.0,28.0,94.0,30.0,127.0,28.0,19.0,15.0,415.172
141.0,0.0,213.0,285.0,242.0,257.0,288.0,57.0,38.0,27.0,95.0,30.0,126.0,28.0,19.0,15.0,443.77799999999996
142.0,0.0,216.0,286.0,236.0,264.0,281.0,56.0,39.0,27.0,92.0,30.0,122.0,27.0,19.0,15.0,451.5505000000001
143.0,0.0,223.0,276.0,233.0,261.0,272.0,54.0,39.0,27.0,97.0,31.0,121.0,28.0,19.0,15.0,415.1875
144.0,0.0,229.0,287.0,247.0,265.0,275.0,55.0,39.0,27.0,91.0,32.0,125.0,27.0,19.0,15.0,430.5335
145.0,0.0,224.0,293.0,240.0,260.0,271.0,54.0,40.0,27.0,97.0,30.0,120.0,27.0,19.0,15.0,462.0290000000002
146.0,0.0,226.0,296.0,241.0,249.0,267.0,55.0,38.0,28.0,97.0,30.0,127.0,27.0,19.0,15.0,426.5939999999999
147.0,0.0,212.0,282.0,243.0,248.0,282.0,56.0,39.0,28.0,92.0,32.0,117.0,28.0,19.0,15.0,434.67649999999986
148.0,0.0,217.0,281.0,245.0,269.0,283.0,53.0,38.0,28.0,95.0,30.0,120.0,28.0,19.0,15.0,449.2730000000001
149.0,0.0,220.0,278.0,238.0,264.0,273.0,56.0,40.0,28.0,95.0,31.0,126.0,28.0,19.0,15.0,418.0390000000003
150.0,0.0,214.0,294.0,244.0,266.0,279.0,56.0,38.0,28.0,95.0,32.0,126.0,27.0,19.0,15.0,441.931
151.0,0.0,216.0,283.0,247.0,260.0,279.0,55.0,40.0,27.0,93.0,32.0,123.0,27.0,19.0,15.0,461.8305000000003
152.0,0.0,211.0,288.0,232.0,256.0,283.0,54.0,40.0,27.0,95.0,30.0,126.0,28.0,19.0,15.0,421.24800000000005
153.0,0.0,216.0,288.0,249.0,269.0,280.0,54.0,40.0,27.0,92.0,31.0,117.0,27.0,19.0,15.0,420.0440000000001
154.0,0.0,214.0,288.0,240.0,260.0,280.0,54.0,38.0,27.0,95.0,31.0,121.0,28.0,19.0,15.0,433.18399999999974
155.0,0.0,215.0,273.0,247.0,256.0,284.0,53.0,40.0,27.0,92.0,30.0,117.0,28.0,19.0,15.0,432.6660000000001
156.0,0.0,212.0,280.0,246.0,260.0,270.0,56.0,39.0,27.0,97.0,32.0,119.0,27.0,19.0,15.0,407.53799999999967
157.0,0.0,225.0,291.0,247.0,269.0,279.0,57.0,39.0,27.0,94.0,30.0,118.0,28.0,19.0,15.0,431.58049999999986
158.0,0.0,214.0,286.0,233.0,261.0,279.0,54.0,39.0,27.0,90.0,31.0,119.0,28.0,19.0,15.0,433.04949999999974
159.0,0.0,213.0,291.0,246.0,267.0,269.0,57.0,38.0,28.0,93.0,32.0,123.0,28.0,19.0,15.0,457.19849999999985
160.0,0.0,212.0,283.0,230.0,257.0,277.0,54.0,38.0,28.0,94.0,30.0,122.0,28.0,19.0,15.0,445.37150000000014
161.0,0.0,230.0,291.0,235.0,263.0,285.0,55.0,39.0,28.0,93.0,31.0,125.0,27.0,19.0,15.0,447.2419999999997
162.0,0.0,224.0,284.0,250.0,265.0,271.0,56.0,38.0,27.0,95.0,32.0,121.0,27.0,19.0,15.0,421.87349999999986
163.0,0.0,222.0,282.0,231.0,250.0,285.0,53.0,38.0,28.0,94.0,30.0,124.0,28.0,19.0,15.0,443.551
164.0,0.0,219.0,270.0,234.0,255.0,272.0,57.0,39.0,27.0,93.0,32.0,123.0,28.0,19.0,15.0,424.62900000000025
165.0,0.0,229.0,270.0,248.0,261.0,282.0,53.0,40.0,28.0,94.0,30.0,118.0,28.0,19.0,15.0,423.44350000000014
166.0,0.0,226.0,285.0,230.0,270.0,286.0,57.0,40.0,27.0,92.0,31.0,127.0,28.0,19.0,15.0,428.7394999999996
167.0,0.0,226.0,291.0,236.0,269.0,271.0,54.0,40.0,27.0,90.0,31.0,127.0,27.0,19.0,15.0,438.26050000000026
168.0,0.0,226.0,270.0,242.0,260.0,280.0,57.0,40.0,27.0,97.0,30.0,121.0,28.0,19.0,15.0,440.13749999999993
169.0,0.0,210.0,296.0,246.0,269.0,292.0,56.0,40.0,27.0,90.0,32.0,120.0,27.0,19.0,15.0,444.56599999999975
170.0,0.0,216.0,288.0,239.0,267.0,280.0,53.0,38.0,28.0,94.0,32.0,117.0,27.0,19.0,15.0,431.70650000000006
171.0,0.0,216.0,283.0,235.0,256.0,291.0,55.0,38.0,28.0,94.0,30.0,123.0,28.0,19.0,15.0,415.5255
172.0,0.0,212.0,296.0,241.0,253.0,276.0,55.0,40.0,27.0,94.0,31.0,121.0,27.0,19.0,15.0,417.6805000000001
173.0,0.0,224.0,272.0,246.0,258.0,283.0,57.0,39.0,28.0,96.0,31.0,122.0,28.0,19.0,15.0,412.7325
174.0,0.0,220.0,271.0,237.0,260.0,284.0,56.0,38.0,28.0,98.0,31.0,125.0,27.0,19.0,15.0,429.51999999999975
175.0,0.0,224.0,287.0,229.0,265.0,290.0,53.0,39.0,27.0,94.0,30.0,125.0,27.0,19.0,15.0,433.35950000000025
176.0,0.0,224.0,296.0,250.0,267.0,286.0,56.0,39.0,28.0,90.0,31.0,121.0,27.0,19.0,15.0,430.19300000000044
177.0,0.0,215.0,270.0,233.0,256.0,272.0,53.0,39.0,27.0,91.0,30.0,120.0,28.0,19.0,15.0,433.2970000000002
178.0,0.0,219.0,285.0,233.0,261.0,284.0,53.0,38.0,27.0,96.0,32.0,121.0,28.0,19.0,15.0,431.7655000000002
179.0,0.0,222.0,295.0,238.0,256.0,281.0,55.0,40.0,28.0,90.0,31.0,127.0,28.0,19.0,15.0,487.9289999999999
180.0,0.0,220.0,292.0,248.0,257.0,281.0,57.0,38.0,28.0,93.0,31.0,126.0,27.0,19.0,15.0,453.9195
181.0,0.0,214.0,295.0,242.0,256.0,281.0,55.0,38.0,27.0,93.0,30.0,125.0,27.0,19.0,15.0,498.5764999999999
182.0,0.0,215.0,279.0,231.0,248.0,274.0,54.0,40.0,27.0,92.0,31.0,126.0,28.0,19.0,15.0,440.23949999999974
183.0,0.0,229.0,296.0,232.0,250.0,281.0,57.0,40.0,27.0,94.0,30.0,124.0,27.0,19.0,15.0,432.0340000000004
184.0,0.0,210.0,278.0,230.0,253.0,277.0,54.0,39.0,28.0,93.0,32.0,125.0,27.0,19.0,15.0,428.66099999999983
185.0,0.0,227.0,273.0,247.0,269.0,291.0,57.0,40.0,28.0,91.0,32.0,122.0,27.0,19.0,15.0,423.4554999999997
186.0,0.0,227.0,281.0,248.0,262.0,276.0,53.0,38.0,27.0,94.0,32.0,119.0,27.0,19.0,15.0,438.62299999999993
187.0,0.0,224.0,286.0,235.0,269.0,288.0,57.0,39.0,27.0,93.0,30.0,121.0,28.0,19.0,15.0,422.04949999999997
188.0,0.0,220.0,275.0,244.0,264.0,285.0,56.0,40.0,27.0,92.0,30.0,125.0,28.0,19.0,15.0,427.5115
189.0,0.0,220.0,271.0,248.0,268.0,292.0,55.0,38.0,28.0,96.0,31.0,127.0,28.0,19.0,15.0,456.0990000000002
190.0,0.0,221.0,280.0,244.0,250.0,267.0,56.0,38.0,27.0,93.0,31.0,118.0,27.0,19.0,15.0,472.95049999999986
191.0,0.0,214.0,278.0,243.0,261.0,282.0,57.0,38.0,28.0,95.0,32.0,124.0,27.0,19.0,15.0,445.8215
192.0,0.0,210.0,277.0,240.0,269.0,279.0,57.0,38.0,27.0,91.0,30.0,125.0,27.0,19.0,15.0,457.145
193.0,0.0,221.0,281.0,247.0,249.0,285.0,57.0,40.0,28.0,90.0,32.0,119.0,27.0,19.0,15.0,433.7174999999998
